file_name,variable,units,description
macro_lw_coeffs.csv,b_SE,numeric,"standard error parameter for length mass regression equation: 
M = aL^b"
macro_lw_coeffs.csv,class,string,The scientific name of the class in which the taxon is classified
macro_lw_coeffs.csv,dw_units,string,units of dry mass of macroinvertebrates and fish
macro_lw_coeffs.csv,family,string,The scientific name of the family in which the taxon is classified
macro_lw_coeffs.csv,formula,string,The scientific name of the family in which the taxon is classified
macro_lw_coeffs.csv,formula_type,integer,"1 = M = aL^b, 2 = M = exp(a + b log(L)"
macro_lw_coeffs.csv,genus,string,The scientific name of the genus in which the organism is classified
macro_lw_coeffs.csv,L_units,string,Units of length (mm)
macro_lw_coeffs.csv,n,integer,count
macro_lw_coeffs.csv,notes,string,notes about length-weight equations
macro_lw_coeffs.csv,order,string,The scientific name of the order in which the taxon is classified
macro_lw_coeffs.csv,source,string,source for length-weight regression equation and parameters
macro_lw_coeffs.csv,subphylum,string,The scientific name of the subphylum in which the taxon is classified
macro_lw_coeffs.csv,taxon,string,"id for ""fish"" of ""macro"""
mean_wetted_width.rds,mean_wetted_width_m,meters,mean wetted width of NEON stream sampling site
mean_wetted_width.rds,sd_wetted_width_m,standard deviation,standard deviation of wetted width measures of NEON stream
mean_wetted_width.rds,site_id,string,four-letter NEON site code
predictors.csv,gpp,grams of carbon per square meter per year,Gross Primary Production (gC/m2/y)
predictors.csv,log_gpp_s,unit scale: standard deviations from the mean of natural log-transformed data,"standardized (z-score) of natural log-transformed gross primary production. Raw values and conversion factors are in ""data/predictors.csv"""
predictors.csv,log_om,natural log-transformed grams per square meter,
predictors.csv,log_om_s,unit scale: standard deviations from the mean of natural log-transformed data,"standardized (z-score) of natural log-transformed organic matter. Raw values and conversion factors are in ""data/predictors.csv"""
predictors.csv,mat_s,unit scale: standard deviations from the mean,"standardized (z-score) mean annual temperature. Raw values and conversion factors are in ""data/predictors.csv"""
predictors.csv,mean_gpp,grams of carbon per square meter per year,arithmetic mean of gross primary production across the 22 NEON stream sites. This is used to transform the raw values to z-scores.
predictors.csv,mean_om,grams per square meter,arithmetic mean of organic matter standing stock across the 22 NEON stream sites. This is used to transform the raw values to z-scores.
predictors.csv,mean_temp,celsius,arithmetic mean of mean annual temperature (temp_deg_c) across NEON stream sites. This is used to transform the raw values to z-scores.
predictors.csv,om,grams per square meter,ash-free dry mass standing stock
predictors.csv,sd_gpp,standard deviation,standard deviation of gross primary production across the NEON stream sites. This is used to transform the raw values to z-scores.
predictors.csv,sd_om,standard deviation,standard deviation of organic matter standing stock across the NEON stream sites. This is used to transform the raw values to z-scores.
predictors.csv,sd_temp,standard deviation,standard deviation of mean annual temperature (temp_deg_c) across the NEON stream sites. This is used to transform the raw values to z-scores.
predictors.csv,site_id,string,four-letter NEON site code
predictors.csv,temp_deg_c,celsius,mean annual stream temperatures in degrees celsius
sample_size.rds,n,integer,count
sample_size.rds,sample_id,integer,unique number representing replicate samples. Each number corresponds to a unique collection date and site
site_lat_longs.csv,lat,decimal degrees,latitude of NEON site
site_lat_longs.csv,long,decimal degrees,longitude of NEON site
site_lat_longs.csv,siteID,character,NEON site name
temp_summaries_table.csv,Author,string,Author of article
temp_summaries_table.csv,b_diff,numeric,absolute change in lambda across environmental gradient
temp_summaries_table.csv,b_high,numeric,maximum lambda value
temp_summaries_table.csv,b_low,numeric,minimum lambda value
temp_summaries_table.csv,direction,numeric,"same as b_diff but not absolute, shows positive or negative direction of change"
temp_summaries_table.csv,Driver,string,Studied cause of change in lambda
temp_summaries_table.csv,error,numeric,error of change in lambda
temp_summaries_table.csv,error_type,string, units of error
temp_summaries_table.csv,Include,string,y/n identifier to include in graph or not
temp_summaries_table.csv,Method,string,method used to estimate lambda
temp_summaries_table.csv,Notes,string,notes about literature measurements
temp_summaries_table.csv,organisms,string,"dominant organisms studied (e.g., fish, macroinvertebrates, etc.)"
temp_summaries_table.csv,prop_diff,numeric,proportional change across environmental gradient
temp_summaries_table.csv,scale_km,numeric,approximate range in km of field study range
temp_summaries_table.csv,System,string,Ecosystem of study
temp_summaries_table.csv,Temp Range,string,"range of degrees, if temperature."
temp_summaries_table.csv,temp_high,celsius,highest experimental temperature 
temp_summaries_table.csv,temp_low,celsius,lowest experimental temperature
temp_summaries_table.csv,x_units,string,units of mass
temp_summaries_table.csv,xmax,numeric,maximum measured mass
temp_summaries_table.csv,xmin,numeric,minimum measured mass
three_pass_data_wide.csv,1,integer,number of fish caught in electrofishing pass 1
three_pass_data_wide.csv,2,integer,number of fish caught in electrofishing pass 2
three_pass_data_wide.csv,3,integer,number of fish caught in electrofishing pass 3
three_pass_data_wide.csv,area_m2,square meters,area of stream sampled
three_pass_data_wide.csv,boutEndDate,"""yyyy-mm-dd hh:mm:ss""",The end date of the entire bout
three_pass_data_wide.csv,domainID,string,Unique identifier of the NEON domain
three_pass_data_wide.csv,eventID,string,"An identifier for the set of information associated with the event, which includes information about the place and time of the event"
three_pass_data_wide.csv,increased,string,Identifier (Y/N) indicating if the number of fish increased in the 3rd pass versus the 1st pass.
three_pass_data_wide.csv,mean_wetted_width_m,meters,mean wetted width of NEON stream sampling site
three_pass_data_wide.csv,measuredReachLength,meters,length of reach sampled per three-pass removal sampling
three_pass_data_wide.csv,n,integer,count
three_pass_data_wide.csv,namedLocation,string,Name of the measurement location in the NEON database
three_pass_data_wide.csv,sd_wetted_width_m,standard deviation,standard deviation of wetted width measures of NEON stream
three_pass_data_wide.csv,site_int,integer,sample id for electrofishing
three_pass_data_wide.csv,siteID,character,NEON site name
three_pass_data_wide.csv,targetTaxaPresent,string,Indicator of whether the sample contained individuals of the target taxa
xmins_clauset.rds,sample_id,integer,unique number representing replicate samples. Each number corresponds to a unique collection date and site
xmins_clauset.rds,site_id,string,four-letter NEON site code
xmins_clauset.rds,xmin_clauset,milligrams dry mass,minimum body size per sample_id in milligrams dry mass as estimated by estimate_xmin() function
xmins_clauset.rds,year,integer,year of collection
